,Age Group,Age,Education,Marital_Status,Income Group,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Children,Month,Year,TotalPurchases,TotalProducts,AtLeast1Cmp
581,Old Adult,63,Graduation,Together,Lower Middle,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,1,3,2013,13,444,0
582,Middle Aged,47,Master,Together,Lower Middle,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,0,2,10,2013,4,47,0
583,Old Adult,63,Master,Married,Low Income,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,4,2013,6,143,0
584,Young Adult,31,Graduation,Together,Lower Middle,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,0,1,4,2014,5,55,0
585,Middle Aged,43,Master,Together,Low Income,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,0,2,4,2014,7,63,0
586,Middle Aged,59,Graduation,Widow,High Income,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,0,0,9,2012,21,1867,1
587,Middle Aged,53,Master,Married,Upper Middle,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,0,1,9,2013,18,611,0
588,Middle Aged,59,Graduation,Together,Upper Middle,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,1,5,2014,15,473,1
589,Middle Aged,55,Graduation,Together,Low Income,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,8,2013,5,55,0
590,Young Adult,30,PhD,Single,Lower Middle,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,1,1,10,2012,5,81,0
591,Young Adult,39,Master,Married,High Income,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,12,2012,21,2086,1
592,Middle Aged,49,Master,Single,High Income,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,11,2013,19,1478,0
593,Young Adult,37,Graduation,Together,Low Income,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,0,1,1,2014,4,49,0
594,Middle Aged,42,PhD,Married,Upper Middle,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,9,2013,14,382,0
595,Young Adult,39,Master,Together,Low Income,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,0,1,9,2013,6,69,0
596,Middle Aged,45,Graduation,Divorced,Low Income,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,0,1,10,2012,5,67,0
597,Middle Aged,45,Master,Married,Lower Middle,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,0,2,10,2013,4,30,0
598,Young Adult,36,Master,Married,Low Income,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,0,1,6,2013,6,63,0
599,Young Adult,33,Graduation,Together,Low Income,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,1,8,2012,7,79,0
600,Middle Aged,53,Graduation,Single,Low Income,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,1,2,2013,4,42,0
601,Middle Aged,54,Graduation,Together,Upper Middle,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,1,8,2012,20,819,0
602,Middle Aged,59,Graduation,Single,High Income,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,9,2013,16,1151,0
603,Old Adult,66,PhD,Married,Upper Middle,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,2,12,2012,17,594,0
604,Middle Aged,48,Master,Together,Lower Middle,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,2,1,2013,7,129,0
605,Young Adult,28,Master,Single,Low Income,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,1,12,2012,8,213,0
606,Middle Aged,41,Graduation,Widow,Lower Middle,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,1,2,2014,5,67,0
607,Middle Aged,58,Graduation,Divorced,Low Income,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,3,3,2013,4,28,0
608,Young Adult,39,Basic,Married,Low Income,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,1,10,2012,4,45,0
609,Middle Aged,49,Graduation,Married,High Income,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,5,2014,17,1193,1
610,Middle Aged,45,Master,Single,Low Income,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,8,2013,10,268,0
611,Old Adult,70,Master,Widow,Lower Middle,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,7,2013,11,266,0
612,Middle Aged,41,Basic,Married,Low Income,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,1,12,2012,4,37,0
613,Middle Aged,47,Graduation,Married,Low Income,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,3,10,2013,5,37,0
614,Middle Aged,45,PhD,Single,Lower Middle,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,11,2012,22,882,0
615,Middle Aged,40,Graduation,Married,Lower Middle,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,2,7,2013,13,373,0
616,Middle Aged,49,Master,Single,Lower Middle,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,3,5,2013,4,35,0
618,Young Adult,36,Graduation,Widow,Upper Middle,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,2,3,2013,4,42,0
619,Middle Aged,54,Master,Married,Low Income,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,1,8,2012,12,326,0
620,Middle Aged,53,PhD,Married,Upper Middle,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,1,7,2013,14,404,0
621,Middle Aged,43,Graduation,Single,Low Income,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,7,2013,5,95,0
622,Old Adult,65,Graduation,Widow,High Income,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,0,3,2014,13,939,1
623,Young Adult,36,Master,Single,Lower Middle,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,1,12,2013,4,33,0
624,Middle Aged,59,Master,Married,High Income,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,6,2013,20,981,1
625,Young Adult,38,Graduation,Married,Low Income,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,1,1,2013,5,36,0
626,Young Adult,39,Graduation,Single,High Income,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,1,6,2013,19,1237,0
627,Middle Aged,54,Graduation,Together,High Income,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,1,9,2012,27,1825,0
628,Young Adult,37,PhD,Divorced,Low Income,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,2,9,2012,6,103,0
629,Young Adult,37,Graduation,Single,Low Income,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,1,12,2012,9,191,0
630,Middle Aged,44,PhD,Married,High Income,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,1,11,2013,23,1586,0
631,Middle Aged,56,PhD,Together,Upper Middle,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,6,2014,13,963,0
632,Middle Aged,44,Master,Married,Upper Middle,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,1,1,2014,21,889,0
633,Middle Aged,54,Master,Single,Low Income,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,0,0,2,2014,6,93,1
634,Middle Aged,41,Graduation,Single,High Income,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,4,2013,20,1587,0
635,Middle Aged,52,Graduation,Divorced,Lower Middle,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,3,3,2014,3,16,0
636,Old Adult,62,Graduation,Single,High Income,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,6,2013,31,1375,0
637,Middle Aged,52,Graduation,Married,Upper Middle,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,1,1,2013,13,393,0
638,Old Adult,64,Master,Divorced,Upper Middle,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,1,9,2012,21,1477,0
639,Middle Aged,43,Graduation,Married,High Income,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,0,1,11,2013,16,1179,1
640,Middle Aged,54,Graduation,Together,Upper Middle,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,1,10,2012,22,1005,0
641,Old Adult,66,PhD,Together,High Income,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,5,2014,20,1348,0
642,Middle Aged,55,PhD,Divorced,Upper Middle,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,1,12,2012,19,1307,0
643,Middle Aged,50,Graduation,Single,Lower Middle,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,0,1,5,2013,13,486,1
644,Old Adult,67,Master,Together,High Income,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,0,3,2013,12,2252,1
645,Middle Aged,43,PhD,Married,Lower Middle,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,2,8,2013,10,235,0
646,Middle Aged,44,Graduation,Together,High Income,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,2013,30,1724,1
647,Middle Aged,44,Master,Divorced,Upper Middle,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,1,12,2013,10,235,0
648,Young Adult,37,Master,Married,High Income,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,1,5,2014,25,1092,0
649,Middle Aged,56,Graduation,Together,Upper Middle,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,1,9,2013,15,599,0
650,Middle Aged,54,Master,Single,High Income,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,0,2,2014,19,2008,1
651,Young Adult,29,Graduation,Together,Low Income,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,1,8,2012,4,48,0
652,Middle Aged,40,Graduation,Married,Upper Middle,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,1,8,2012,27,1174,0
653,Old Adult,64,PhD,Together,Lower Middle,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,1,4,2014,6,67,0
654,Middle Aged,59,Graduation,Divorced,Lower Middle,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,1,8,2012,13,365,0
656,Old Adult,61,Graduation,Together,Upper Middle,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,1,1,2014,8,165,0
657,Middle Aged,56,Master,Together,Low Income,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,9,2012,9,210,0
658,Old Adult,67,PhD,Together,High Income,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,1,8,2013,25,1095,0
659,Middle Aged,48,PhD,Single,Lower Middle,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,0,3,10,2013,8,223,1
660,Middle Aged,51,Graduation,Together,Upper Middle,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,1,12,2012,18,597,0
661,Young Adult,29,Graduation,Married,Low Income,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,1,11,2013,3,22,0
662,Young Adult,39,Graduation,Widow,Upper Middle,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,1,12,2013,23,1064,0
663,Young Adult,34,Basic,Married,Low Income,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,9,2012,5,74,0
664,Middle Aged,58,Master,Together,Low Income,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,1,2013,4,26,0
665,Middle Aged,55,Graduation,Married,Low Income,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,12,2012,4,60,0
666,Middle Aged,40,PhD,Together,Lower Middle,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,1,5,2013,3,20,0
667,Young Adult,27,Basic,Single,Low Income,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,1,9,2013,5,59,0
668,Middle Aged,46,PhD,Married,Low Income,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,1,5,2013,4,34,0
669,Middle Aged,43,Master,Married,Upper Middle,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,2,11,2013,9,198,0
670,Middle Aged,50,PhD,Married,Upper Middle,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,1,7,2013,25,1048,0
671,Middle Aged,52,Master,Single,Upper Middle,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,2,11,2013,16,574,0
672,Middle Aged,44,Graduation,Widow,Upper Middle,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,1,9,2012,13,1029,0
673,Young Adult,34,Graduation,Married,High Income,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,1,12,2013,18,670,0
674,Young Adult,39,PhD,Single,Upper Middle,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,1,12,2012,14,990,0
675,Middle Aged,40,Graduation,Married,Low Income,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,2,5,2014,3,11,0
676,Middle Aged,51,PhD,Married,High Income,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,1,10,2012,18,1241,1
677,Young Adult,35,Graduation,Single,High Income,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,1,2014,16,576,0
678,Young Adult,29,Master,Married,Lower Middle,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,0,1,6,2013,8,172,1
679,Young Adult,34,PhD,Single,Upper Middle,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,12,2013,19,664,0
680,Middle Aged,51,Graduation,Divorced,High Income,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,1,10,2013,21,928,0
681,Middle Aged,47,Graduation,Divorced,High Income,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,8,2012,29,2074,0
682,Young Adult,32,Master,Together,Lower Middle,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,7,2013,14,467,0
683,Middle Aged,59,Graduation,Together,Lower Middle,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,1,10,2013,10,257,0
684,Middle Aged,47,Graduation,Together,Upper Middle,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,12,2013,16,1146,0
685,Young Adult,38,PhD,Divorced,Upper Middle,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,1,3,2013,18,689,0
686,Middle Aged,42,PhD,Single,High Income,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,9,2012,21,2114,0
688,Young Adult,25,PhD,Together,High Income,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,5,2014,20,1346,1
689,Middle Aged,45,PhD,Together,High Income,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,9,2013,14,1044,0
690,Middle Aged,54,PhD,Divorced,Lower Middle,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,10,2012,16,493,1
691,Middle Aged,44,Graduation,Single,Upper Middle,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,8,2013,12,957,0
692,Middle Aged,56,Master,Together,Lower Middle,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,1,7,2013,9,270,0
693,Old Adult,62,Basic,Together,Low Income,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,11,2013,4,29,0
694,Old Adult,65,Master,Widow,Lower Middle,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,2,5,2013,6,121,0
695,Middle Aged,53,Master,Married,Upper Middle,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,2,7,2013,7,126,0
696,Young Adult,19,Graduation,Single,Low Income,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,3,2014,3,23,0
697,Old Adult,65,PhD,Single,Low Income,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,2,4,2013,5,57,0
698,Middle Aged,53,Graduation,Single,Lower Middle,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,11,2013,18,636,0
699,Middle Aged,54,Graduation,Together,High Income,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,4,2014,27,1004,1
700,Middle Aged,41,Graduation,Divorced,High Income,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,1,9,2013,17,734,0
701,Young Adult,36,Graduation,Married,High Income,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,2,3,2014,18,614,0
702,Young Adult,36,Graduation,Divorced,High Income,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,0,1,2,2014,18,1453,1
703,Young Adult,26,Master,Single,High Income,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,0,4,2014,14,1621,1
704,Middle Aged,46,Master,Divorced,Lower Middle,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,1,12,2013,9,187,0
705,Young Adult,28,Graduation,Married,High Income,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,0,1,1,2013,20,1443,1
706,Middle Aged,44,PhD,Divorced,Lower Middle,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,1,6,2014,5,57,0
707,Old Adult,63,Graduation,Divorced,Lower Middle,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,1,4,2013,18,637,0
708,Old Adult,66,PhD,Together,Upper Middle,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,0,1,11,2013,11,948,1
709,Middle Aged,43,Master,Married,Lower Middle,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,0,1,1,2013,4,59,1
710,Young Adult,28,Graduation,Married,Low Income,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,1,7,2013,3,18,0
711,Middle Aged,49,Master,Single,Upper Middle,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,1,10,2012,22,903,0
712,Young Adult,39,Graduation,Single,Low Income,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,1,2,2013,6,112,0
713,Old Adult,61,Graduation,Together,Upper Middle,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,5,2013,17,596,0
714,Young Adult,32,Graduation,Together,Lower Middle,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,1,8,2013,10,233,0
715,Young Adult,39,PhD,Married,High Income,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,12,2012,10,1511,0
716,Middle Aged,54,Master,Divorced,High Income,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,9,2012,16,1152,1
717,Young Adult,36,Graduation,Together,Low Income,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,1,2,2013,5,48,0
718,Middle Aged,44,Graduation,Divorced,Upper Middle,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,1,3,2013,25,1185,0
719,Middle Aged,56,Graduation,Single,Lower Middle,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,2,3,2014,3,21,0
720,Middle Aged,49,Master,Married,High Income,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,1,12,2012,14,965,0
721,Old Adult,60,Graduation,Married,Upper Middle,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,5,2013,20,869,0
722,Young Adult,30,PhD,Married,Low Income,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,1,5,2014,4,16,0
723,Middle Aged,49,Graduation,Married,High Income,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,2,2013,15,1947,0
724,Young Adult,38,Graduation,Married,Low Income,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,0,1,8,2012,7,71,1
725,Middle Aged,48,Graduation,Married,Lower Middle,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,1,6,2014,5,65,0
726,Middle Aged,59,Graduation,Married,High Income,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,11,2013,23,1380,1
727,Young Adult,38,Master,Divorced,High Income,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,1,2014,22,1027,0
728,Middle Aged,49,Master,Married,Upper Middle,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,3,10,2013,14,411,0
729,Young Adult,23,Graduation,Together,High Income,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,4,2013,25,836,1
730,Old Adult,65,PhD,Divorced,Lower Middle,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,2,9,2013,3,11,0
731,Old Adult,61,PhD,Together,Upper Middle,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,2,8,2012,15,480,0
732,Young Adult,36,Graduation,Married,Upper Middle,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,2,6,2013,16,606,0
733,Old Adult,66,PhD,Divorced,Lower Middle,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,3,10,2013,11,284,0
734,Middle Aged,41,Graduation,Divorced,High Income,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,2,10,2013,11,1472,1
735,Old Adult,65,Graduation,Married,High Income,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,0,4,2014,25,1677,1
736,Middle Aged,41,Graduation,Married,Upper Middle,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,1,3,2013,17,1335,0
737,Old Adult,62,Master,Together,High Income,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,1,6,2014,12,334,0
738,Young Adult,25,Basic,Married,Low Income,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,1,3,2013,3,18,0
739,Middle Aged,45,Graduation,Together,Upper Middle,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,1,8,2012,18,1338,0
740,Old Adult,61,PhD,Single,Upper Middle,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,1,3,2013,26,1099,0
741,Middle Aged,58,Master,Together,Low Income,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,2,3,2013,6,97,0
742,Old Adult,64,PhD,Single,Lower Middle,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,3,1,2014,6,63,0
743,Young Adult,36,Master,Together,Lower Middle,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,0,1,8,2013,7,109,0
744,Middle Aged,50,Graduation,Married,High Income,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,1,2014,20,902,1
745,Old Adult,62,Graduation,Together,High Income,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,5,2013,19,1574,1
746,Young Adult,39,Master,Married,Low Income,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,0,1,12,2013,6,38,0
747,Young Adult,19,Graduation,Single,High Income,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,3,2014,23,960,0
748,Middle Aged,44,Graduation,Single,Low Income,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,0,1,9,2013,3,28,1
749,Old Adult,60,Master,Married,Upper Middle,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,0,0,1,2014,27,1215,1
750,Middle Aged,42,PhD,Together,High Income,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,12,2013,21,1497,0
751,Middle Aged,56,PhD,Together,Upper Middle,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,0,1,10,2013,15,449,0
752,Young Adult,39,Graduation,Widow,Upper Middle,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,1,12,2013,23,1064,0
753,Middle Aged,45,Graduation,Married,High Income,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,0,0,2,2013,24,1757,1
754,Young Adult,35,Graduation,Together,High Income,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,5,2014,20,1440,0
755,Young Adult,36,Master,Together,Upper Middle,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,2,2013,23,1006,0
756,Middle Aged,42,PhD,Together,Upper Middle,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,0,1,8,2012,18,1226,0
757,Middle Aged,50,Graduation,Married,Upper Middle,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,0,1,9,2013,15,1171,0
758,Young Adult,35,Master,Married,Lower Middle,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,1,3,2013,6,92,0
759,Middle Aged,55,PhD,Married,Lower Middle,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,0,1,4,2014,7,99,0
760,Young Adult,33,Master,Married,Lower Middle,35523.0,8,11,5,22,12,5,11,2,3,0,3,7,0,1,10,2013,6,66,0
761,Middle Aged,47,Graduation,Single,High Income,79146.0,33,245,16,223,21,43,16,2,8,1,8,6,0,2,4,2014,17,564,0
762,Young Adult,26,Master,Married,High Income,78285.0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,10,2013,20,1427,0
763,Young Adult,36,PhD,Single,Low Income,31626.0,12,39,1,9,2,1,34,1,2,1,2,7,0,1,5,2013,5,86,1
764,Old Adult,62,Graduation,Single,High Income,75127.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,5,2014,18,833,0
765,Middle Aged,59,Graduation,Married,Lower Middle,48726.0,90,138,3,38,4,0,59,3,3,2,4,6,0,1,4,2013,9,242,0
766,Young Adult,37,Graduation,Married,High Income,74985.0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,9,2012,16,1869,0
767,Young Adult,27,Graduation,Together,Upper Middle,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,9,2012,28,1364,0
768,Middle Aged,49,Master,Married,Lower Middle,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,1,9,2013,7,183,0
769,Middle Aged,58,Master,Married,Upper Middle,62058.0,52,301,7,74,10,0,58,4,6,1,7,6,0,1,5,2013,14,450,0
770,Young Adult,35,Graduation,Married,High Income,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,1,7,2013,19,758,0
771,Old Adult,63,PhD,Married,High Income,78939.0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,12,2013,19,1507,0
772,Middle Aged,49,Graduation,Single,Lower Middle,42720.0,9,392,5,91,28,26,112,8,7,3,7,8,0,2,4,2013,17,654,0
773,Middle Aged,42,Graduation,Married,Low Income,33622.0,22,39,1,22,3,4,12,3,2,0,4,7,0,2,4,2013,6,81,0
774,Middle Aged,57,PhD,Together,Low Income,6835.0,76,107,2,12,2,2,12,0,0,0,1,20,0,1,12,2012,1,137,0
775,Old Adult,61,Graduation,Together,Lower Middle,41452.0,86,13,0,3,0,0,0,1,1,0,2,7,0,2,3,2013,3,16,0
776,Middle Aged,49,PhD,Single,Lower Middle,40760.0,64,70,0,17,0,0,6,2,2,1,3,6,0,1,8,2013,6,93,0
777,Middle Aged,56,PhD,Together,High Income,74250.0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,1,2014,17,1158,0
778,Middle Aged,59,Master,Single,Upper Middle,51124.0,79,26,1,11,0,1,4,2,1,0,3,3,0,2,12,2013,4,43,0
779,Middle Aged,43,Graduation,Single,High Income,72258.0,28,522,0,522,227,120,134,2,6,9,5,2,0,1,9,2013,20,1525,0
780,Middle Aged,40,PhD,Single,High Income,71466.0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,4,2014,18,1230,0
781,Young Adult,38,Graduation,Together,Lower Middle,36283.0,42,6,5,5,8,0,5,2,1,0,3,4,0,2,4,2014,4,29,0
782,Middle Aged,44,Graduation,Single,Low Income,20587.0,39,2,3,6,4,1,9,1,1,1,2,7,0,1,5,2014,4,25,0
783,Middle Aged,42,Graduation,Married,Low Income,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,1,3,2014,3,24,0
784,Middle Aged,42,Graduation,Together,Low Income,31590.0,40,6,2,15,6,6,3,1,1,0,3,8,0,1,6,2013,4,38,0
785,Young Adult,28,Basic,Married,Low Income,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,1,10,2012,5,57,0
786,Middle Aged,54,Master,Together,Low Income,17144.0,96,18,2,19,0,2,6,5,3,0,4,7,0,2,2,2014,7,47,0
